16, 10, 0.592169
16, 10, 0.61715
16, 9.99997, 0.651341
16, 9.9864, 0.752004
16, 9.98005, 0.795652
16, 9.99842, 0.875952
16, 9.98473, 0.967374
16, 9.99264, 1.08507
16, 9.99848, 1.28298
16, 9.99979, 1.40487
16, 9.98409, 1.59324
16, 9.99729, 1.74407
16, 9.9899, 1.94659
16, 9.99635, 2.13086
16, 9.99735, 2.35806
16, 9.99901, 2.54728
16, 9.99129, 2.91375
16, 9.97985, 3.31747
16, 9.99457, 3.45398
16, 9.99221, 3.75692
16, 9.99581, 4.00682
16, 9.99779, 4.30786
16, 9.99673, 4.68208
16, 9.99339, 5.04495
16, 9.99883, 5.5358
16, 9.99945, 5.78656
16, 9.9908, 6.39106
16, 9.99792, 6.70334
16, 9.99253, 7.08911
16, 9.99769, 7.49259
16, 9.99279, 7.90824
16, 9.9957, 8.44317
16, 9.99842, 10.0005
16, 9.99633, 10.4931
16, 9.99364, 10.116
16, 9.99326, 12.8599
16, 9.99545, 13.6387
16, 9.99864, 12.5641
16, 9.99623, 14.1182
16, 9.99784, 14.1514
16, 9.99314, 14.8577
16, 9.9938, 14.1157
16, 9.98981, 15.1475
16, 9.99364, 16.1665
16, 9.9939, 16.3124
16, 9.99829, 17.0649
16, 9.99356, 17.4106
16, 9.99507, 18.4082
16, 9.99552, 19.3324
16, 9.99802, 19.909
16, 9.99665, 20.7497
16, 9.99919, 21.3463
16, 9.99673, 22.1375
16, 9.99225, 22.9577
16, 9.99632, 24.1214
16, 9.99626, 25.0451
16, 9.99589, 27.6873
16, 9.99233, 26.2848
16, 9.99311, 27.1415
16, 9.99691, 30.5581
16, 9.99204, 29.2267
16, 9.99522, 30.1606
16, 9.99185, 37.6524
16, 9.99096, 35.0554
