1, 1, 0.248871
2, 1, 0.272351
3, 1, 0.284218
4, 10, 0.290173
5, 10, 0.316073
6, 10, 0.333009
7, 10, 0.343155
8, 10, 0.36639
9, 10, 0.39191
10, 10, 0.412588
11, 10, 0.444867
12, 10, 0.449899
13, 10, 0.485228
14, 10, 0.49819
15, 10, 0.544486
16, 10, 0.567613
17, 10, 0.613232
18, 10, 0.599284
19, 10, 0.659906
20, 10, 0.658054
21, 10, 0.6804
22, 10, 0.73251
23, 10, 0.764613
24, 10, 0.802189
25, 10, 0.819844
26, 10, 0.868127
27, 10, 0.876599
28, 10, 0.88956
29, 10, 0.916454
30, 10, 0.959443
31, 10, 0.969563
32, 10, 1.00587
33, 10, 1.0422
34, 10, 1.03738
35, 10, 1.07368
36, 10, 1.10656
37, 10, 1.13043
38, 10, 1.20024
39, 10, 1.20429
40, 10, 1.23448
41, 10, 1.29541
42, 10, 1.34965
43, 10, 1.33206
44, 10, 1.32235
45, 10, 1.38617
46, 10, 1.38168
47, 10, 1.4463
48, 10, 1.44791
49, 10, 1.46322
50, 10, 1.48955
51, 10, 1.62626
52, 10, 1.56666
53, 10, 1.6293
54, 10, 1.65737
55, 10, 1.65458
56, 10, 1.65271
57, 10, 1.77003
58, 10, 1.83058
59, 10, 1.76494
60, 10, 1.78666
61, 10, 1.89307
62, 10, 1.99984
63, 10, 1.93616
64, 10, 1.98761
